Date,AAPL,ABNB,AMZN,BA,GOOGL,HPQ,MCD,MSFT,NVDA,TSLA,^GSPC
2021-01-28,133.08831787109375,187.3699951171875,161.88099670410156,197.22999572753906,91.78659057617188,20.202695846557617,180.9571990966797,227.81752014160156,12.984017372131348,278.4766540527344,3787.3798828125
2021-01-29,128.1080780029297,183.6300048828125,160.30999755859375,194.19000244140625,90.50675964355469,19.77216148376465,181.84963989257812,221.17169189453125,12.923080444335938,264.510009765625,3714.239990234375
2021-02-01,130.22445678710938,180.44000244140625,167.1439971923828,195.83999633789062,93.76130676269531,19.885889053344727,181.9283905029297,228.50405883789062,13.16906452178955,279.9366760253906,3773.860107421875
2021-02-02,131.0496368408203,179.1699981689453,169.0,200.94000244140625,95.05152893066406,20.218942642211914,183.529541015625,228.3705291748047,13.487173080444336,290.92999267578125,3826.31005859375
2021-02-03,130.03028869628906,185.72000122070312,165.62649536132812,207.38999938964844,101.9736557006836,20.495134353637695,182.61083984375,231.69822692871094,13.461055755615234,284.89666748046875,3830.169921875
2021-02-04,133.37957763671875,195.8000030517578,166.5500030517578,210.63999938964844,101.71363067626953,21.080013275146484,184.64068603515625,230.75430297851562,13.594122886657715,283.3299865722656,3871.739990234375
2021-02-05,132.96633911132812,195.30999755859375,167.6074981689453,207.92999267578125,103.45703887939453,21.242483139038086,185.9969024658203,230.93544006347656,13.521246910095215,284.07666015625,3886.830078125
2021-02-08,133.11221313476562,200.42999267578125,166.14700317382812,211.9499969482422,103.24356842041016,22.176664352416992,185.12191772460938,231.19284057617188,14.364646911621094,287.8066711425781,3915.590087890625
2021-02-09,132.23715209960938,199.8800048828125,165.25,215.1199951171875,102.79137420654297,22.00606918334961,188.97174072265625,232.4324493408203,14.190045356750488,283.1533203125,3911.22998046875
2021-02-10,131.6343231201172,211.66000366210938,164.32899475097656,211.9199981689453,103.34064483642578,22.0548095703125,187.58929443359375,231.5266571044922,14.688475608825684,268.2733459472656,3909.8798828125
2021-02-11,131.38157653808594,216.83999633789062,163.10650634765625,210.66000366210938,103.45306396484375,22.241647720336914,187.4755401611328,233.118896484375,15.172476768493652,270.5533447265625,3916.3798828125
2021-02-12,131.6149139404297,212.67999267578125,163.885498046875,210.97999572753906,103.76411437988281,22.33100700378418,187.15184020996094,233.59568786621094,14.8844633102417,272.0400085449219,3934.830078125
